,Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year_data_collected,Grouped_Sector
2477,Colive.in,2015,"Bangalore, Karnataka, India",Consumer,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,N/A,N/A,1800000,Seed,2018,
2478,Agricxlab Private Limited,2015,"Thane, Maharashtra, India","B2B, Farming, Marketplace",Online marketplace where farmers and traders can sell their produce to B2B buyers,N/A,N/A,500000,Seed,2018,
2479,Corefactors,2015,"Bangalore, Karnataka, India",—,"Corefactors is a leading campaign management, business communication and analytics company.",N/A,N/A,0,Seed,2018,
2480,Fincash.com,2015,"Mumbai, Maharashtra, India",Wealth Management,A startup in the personal finance space in India .,N/A,N/A,150000,Seed,2018,
2481,Pandorum Technologies,2015,"Bengaluru, Karnataka, India",Biotechnology,Bengaluru based biotech startup.,N/A,N/A,3600000,SeriesA,2018,
2482,Shirsa Labs,2015,"Mumbai, Maharashtra, India","Education, Gaming, Training",Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,N/A,N/A,500000,Seed,2018,
2483,PetSutra,2015,"Gurgaon, Haryana, India",Veterinary,Gurugram-based Online petcare platform.,N/A,N/A,138700,Seed,2018,
2484,Awaaz De,2015,"Ahmedabad, Gujarat, India","Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,N/A,N/A,0,Angel,2018,
2485,PinkBlue,2015,"Bangalore, Karnataka, India","Health Care, Hospital, Supply Chain Management",PinkBlue.in - Super-efficient supply-chain for clinical supplies,N/A,N/A,300000,Seed,2018,
2486,Eduvanz,2015,"Mumbai, Maharashtra, India","Finance, Financial Services","Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",N/A,N/A,500000,Angel,2018,
2487,Rupeek,2015,"Bangalore, Karnataka, India","Financial Services, Lending",Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,N/A,N/A,6830000,SeriesA,2018,
2488,Backpacker Panda Holidays Private Limited,2015,"Pune, Maharashtra, India","Tourism, Travel",Backpacker Panda is creating an ecosystem for youth accommodation and travel.,N/A,N/A,1400000,SeriesA,2018,
2489,Shape (School Health and Physical Education),2015,"Pune, Maharashtra, India",Education,Physical education start up,N/A,N/A,200000,Seed,2018,
2490,Placio,2015,"Noida, Uttar Pradesh, India","Hospitality, Real Estate",Placio is a student housing and a complete broker-free platform.,N/A,N/A,2000000,Seed,2018,
2491,Aviom India Housing Finance,2015,"New Delhi, Delhi, India",Finance,Delhi based housing finance company.,N/A,N/A,2190000,SeriesA,2018,
2492,GenRobotic,2015,"Trivandrum, Kerala, India",Market Research,A Robotic Company.,N/A,N/A,0,Seed,2018,
2493,HeyHolidays,2015,"Bangalore, Karnataka, India","Tourism, Travel","HeyHolidays, a global player in online vacation rentals.",N/A,N/A,1000000,Seed,2018,
2494,Pratilipi,2015,"Bengaluru, Karnataka, India","Digital Media, EBooks, Publishing, Reading Apps",Amazon's Kindle Direct Publishing for Indian Languages,N/A,N/A,4300000,SeriesA,2018,
2495,SectorQube,2015,"Ernakulam, Kerala, India","Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",SectorQube develops smart kitchen devices that make food automatically.,N/A,N/A,0,Seed,2018,
2496,Food Memories,2015,"Ahmedabad, Gujarat, India","Food and Beverage, Food Processing",Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,N/A,N/A,0,Seed,2018,
2497,ZAMROO,2015,"India, Asia","Internet, Marketplace, Shopping",Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,N/A,N/A,0,Seed,2018,
2498,Silversparro Technologies Pvt. Ltd,2015,"Gurgaon, Haryana, India","Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Silversparro is a deep learning technology solution provider.,N/A,N/A,300000,Seed,2018,
2499,Creator’s Gurukul,2015,"Gurgaon, Haryana, India",Facilities Support Services,A coworking space provider.,N/A,N/A,0,Angel,2018,
2500,Emflux Motors,2015,"Bengaluru, Karnataka, India","Automotive, Electric Vehicle, Energy",Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,N/A,N/A,364846,Seed,2018,
2501,Tricog Health Services Pvt Ltd,2015,"Bangalore, Karnataka, India","Health Care, Health Diagnostics, Predictive Analytics",Predictive Healthcare Analytics Company,N/A,N/A,4000000,SeriesA,2018,
2502,Scapic,2015,"Bangalore, Karnataka, India","Cloud Computing, Computer, SaaS, Software",Virtual/Augmented Reality Start Up .,N/A,N/A,500000,Seed,2018,
2503,6Degree,2015,"Mumbai, Maharashtra, India","Fashion, Lifestyle, Retail",A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,N/A,N/A,400000,Seed,2018,
2504,Chrysalis (EZ Vidya),2015,"Chennai, Tamil Nadu, India",Education,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,N/A,N/A,0,Seed,2018,
2505,Ekincare,2015,"Hyderabad, Andhra Pradesh, India",Medical,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,N/A,N/A,1500000,SeriesA,2018,
2506,Streo,2015,"Gurgaon, Haryana, India",Music Streaming,"Live stream music from nightclubs, bars & festivals!",N/A,N/A,0,Seed,2018,
2507,Groww,2015,"Kormangala, Karnataka, India","Finance, Impact Investing, Internet",Groww offers a new way of investing money.,N/A,N/A,120000,Seed,2018,
2508,Cell Propulsion,2015,"Bangalore, Karnataka, India",—,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,N/A,N/A,102200,Seed,2018,
2509,Chezuba,2015,"Hyderabad, Andhra Pradesh, India","Internet, Social Entrepreneurship",Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,N/A,N/A,20440,Angel,2018,
2510,Ontrack Technologies Pvt. Ltd,2015,"Bangalore, Karnataka, India",Retail,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,N/A,N/A,0,Seed,2018,
2511,Wealthtrust,2015,"Mumbai, Maharashtra, India","Finance, Impact Investing, Mobile Apps",Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,N/A,N/A,500000,Seed,2018,
2512,Faclon Labs,2015,"Mumbai, Maharashtra, India","Cloud Computing, Computer, Software",Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,N/A,N/A,0,Seed,2018,
2513,Awign Enterprises,2015,"Bangalore, Karnataka, India","Business Development, Market Research, Outsourcing",Operations and manpower outsourcing startup,N/A,N/A,730000,Seed,2018,
2514,CollPoll,2015,"Bangalore, Karnataka, India",Education,World-class Enterprise System for Education.,N/A,N/A,0,Seed,2018,
2515,Zyla Health,2015,"New Delhi, Delhi, India","Health Care, Hospitality",Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,N/A,N/A,0,Seed,2018,
2516,Hubhopper,2015,"Delhi, Delhi, India","Internet, Social News, Sports",Get your daily dose of interest as summaries from news and magazine stories .,N/A,N/A,500000,SeriesA,2018,
2517,Rubix108 Technologies,2015,"Pune, Maharashtra, India",Information Technology,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,N/A,N/A,1000000,Seed,2018,
2518,Workflexi,2015,"Bangalore, Karnataka, India",Human Resources,"Be Smart, Work on Contract,Be Smart, Hire on Contract",N/A,N/A,146000,Seed,2018,
2519,Streak,2015,"Bangalore, Karnataka, India",Financial Services,Algorithmic trading platform.,N/A,N/A,328500,Seed,2018,Finance
2520,Kuants,2015,"Gurgaon, Haryana, India",Financial Services,Algorithmic trading platform.,N/A,N/A,73000,Seed,2018,Finance
2521,NiYO Solutions,2015,"Bangalore, Karnataka, India","Finance, Financial Services, FinTech",NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,N/A,N/A,13200000,SeriesA,2018,
2522,Hippo Video,2015,"Chennai, Tamil Nadu, India","Customer Service, Software, Video, Video Streaming",A video recording and sharing software.,N/A,N/A,0,Seed,2018,
2523,Satvacart,2015,"Gurgaon, Haryana, India","E-Commerce, Food Processing",Satvacart is a Gurgaon’s largest online supermarket,N/A,N/A,0,Seed,2018,
2524,Daaki,2015,"Bangalore, Karnataka, India",Health Care,Sports Nutrition startup,N/A,N/A,0,Angel,2018,
2525,Simulanis,2015,"New Delhi, Delhi, India",Training,A Delhi-based Augmented Reality and Virtual Reality technology development company.,N/A,N/A,500000,Seed,2018,
2526,MY CHIRAAG CAB,2015,"Jaipur, Rajasthan, India",Travel,MY CHIRAAG CAB SERVICES PVT LTD,N/A,N/A,1000000,Seed,2018,
2527,WOTU,2015,"Bangalore, Karnataka, India",Food and Beverage,It operates a business-to-business e-commerce portal for food and beverages.,N/A,N/A,0,Seed,2018,
2528,Flathalt,2015,"Gurgaon, Haryana, India",—,FInd your Customized Home here.,N/A,N/A,50000,Angel,2018,
2529,True Elements,2015,"Pune, Maharashtra, India","Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,N/A,N/A,730000,Seed,2018,
2530,Trendlyne Technologies,2015,"Bangalore, Karnataka, India",Financial Services,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,N/A,N/A,200000,Seed,2018,Finance
2531,Planys Technologies,2015,"Chennai, Tamil Nadu, India","Manufacturing, Oil and Gas, Robotics",Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,N/A,N/A,2046920,SeriesA,2018,
2532,HealthPlix,2015,"Bangalore, Karnataka, India","Fitness, Health Care, Wellness",HealthPlix is a healthtech startup,N/A,N/A,3000000,SeriesA,2018,
2533,dishq,2015,"Bengaluru, Karnataka, India",—,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,N/A,N/A,400000,Seed,2018,
2534,Entropik Technology,2015,"Bengaluru, Karnataka, India","Artificial Intelligence, Computer, Machine Learning",The boundaries between Human and Machines are shrinking fast.,N/A,N/A,1100000,Seed,2018,
2535,myHQ,2015,"Delhi, Delhi, India","Collaboration, Communities, Coworking, Sharing Economy",myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,N/A,N/A,500000,SeriesA,2018,
2536,Trell,2015,"Bangalore City, Karnataka, India",—,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,N/A,N/A,1250000,Seed,2018,
2537,Kidovators (by GyanLab),2015,"Bangalore, Karnataka, India","Big Data, EdTech, Machine Learning",Building future human capital through 21st Century Skills programs for K-12,N/A,N/A,180000,Seed,2018,
2538,Log 9 Materials,2015,"Uttar Pradesh, India, Asia",Nanotechnology,Log 9 Materials is a nano-materials manufacturing and RnD startup,N/A,N/A,438000,Seed,2018,
2539,VTION,2015,"Gurgaon, Haryana, India","Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,N/A,N/A,280320,Seed,2018,
2540,HousingMan.com,2015,"Bengaluru, Karnataka, India",—,"New Apartments, Flats for Sale in Bangalore",N/A,N/A,1503800,Seed,2018,
2541,Steradian Semiconductors,2015,"Bangalore, Karnataka, India",—,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,N/A,N/A,0,Seed,2018,
2542,RupeeCircle,2015,"Mumbai, Maharashtra, India","Financial Services, Lending, Peer to Peer",RupeeCircle is a new age finance company.,N/A,N/A,584000,Seed,2018,
2543,Wooden Street,2015,"Jaipur, Rajasthan, India","E-Commerce, Furniture, Home Decor, Interior Design, Internet",Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,N/A,N/A,1000000,SeriesA,2018,
2544,The Ken,2015,"Bengaluru, Karnataka, India",Digital Media,The Ken is India’s first subscriptions-only business news site,N/A,N/A,1500000,SeriesA,2018,
2545,SaffronStays,2015,"Mumbai, Maharashtra, India",—,SaffronStays connects travellers to India's Incredible hosts.,N/A,N/A,2000000,Seed,2018,
2546,Vebbler,2015,"Bengaluru, Karnataka, India","File Sharing, Personalization, Social Media",A personal network for close people,N/A,N/A,0,Seed,2018,
2547,Foyr,2015,"Pune, Maharashtra, India","Home Decor, Interior Design","Foyr.com is India's first online, automated interior designer",N/A,N/A,4200000,SeriesA,2018,
2548,MEngage,2015,"Jaipur, Rajasthan, India","Health Care, Medical Device, Mobile Apps",MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,N/A,N/A,175000,Seed,2018,
2549,Inner Being Wellness,2015,"Hyderabad, Andhra Pradesh, India",—,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",N/A,N/A,511000,Angel,2018,
2550,Kobster,2015,"Chennai, Tamil Nadu, India","E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,N/A,N/A,0,Seed,2018,
2551,Wishberry,2015,"Mumbai, Maharashtra, India","Crowdfunding, Finance, Financial Services",Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,N/A,N/A,1460000,SeriesA,2018,
2552,McXtra,2015,"Andheri, Maharashtra, India","Finance, Financial Services, Insurance",McXtra is a digital insurance broking startup.,N/A,N/A,1300000,Seed,2018,
2553,Magic Crate,2015,"Bangalore, Karnataka, India","Children, Education, Online Portals","Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",N/A,N/A,0,Seed,2018,
2554,SmartVizX,2015,"Noida, Uttar Pradesh, India","Software, Virtual Reality",It is a Virtual Reality Solutions StartUp,N/A,N/A,1450000,Seed,2018,
2555,MySEODoc,2015,"Delhi, Delhi, India",—,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",N/A,N/A,0,Seed,2018,
2556,ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,2015,"Pune, Maharashtra, India",—,Digital Marketing Agency,N/A,N/A,2920,Seed,2018,
2557,Scale Labs,2015,"Delhi, Delhi, India",—,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,N/A,N/A,1000000,Seed,2018,
2558,HungerBox,2015,"Bengaluru, Karnataka, India","B2B, Food and Beverage, Food Delivery",HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,N/A,N/A,4500000,SeriesA,2018,
2559,Biryani By Kilo,2015,"Noida, Uttar Pradesh, India","Catering, Food and Beverage, Food Delivery, Food Processing",BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,N/A,N/A,1000000,Seed,2018,
2560,Wholesome Habits (EAT Anytime),2015,"Mumbai, Maharashtra, India","Food and Beverage, Snack Food",Wholesome Habits (EAT Anytime) is a healthy snacks Company.,N/A,N/A,500000,Seed,2018,
2561,GoBumpr,2015,"Mylapore, Tamil Nadu, India","Automotive, E-Commerce, Mobile",Car Service and Bike Service Mobile App,N/A,N/A,600000,Seed,2018,
2562,Fixpocket,2015,"Ahmedabad, Gujarat, India","Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Fixpocket is a internet-based startup.,N/A,N/A,250000,Seed,2018,
2563,edureka!,2015,"Bangalore, Karnataka, India","Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development","Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",N/A,N/A,2000000,SeriesA,2018,
2564,Hashtag Loyalty Private Limited,2015,"Mumbai, Maharashtra, India","Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,N/A,N/A,0,Seed,2018,
2565,Wow Express,2015,"Mumbai, Maharashtra, India","Delivery, Information Technology, Mobile Apps","WOW, as customers react to his studiously taught, trained, polite and courteous nature.",N/A,N/A,4500000,SeriesA,2018,
2566,ZunRoof,2015,"Gurgaon, Haryana, India","Environmental Consulting, Renewable Energy",ZunRoof is a rooftop focused solar startup.,N/A,N/A,242360,Angel,2018,
2567,Eggoz,2015,"Indore, Madhya Pradesh, India","Food and Beverage, Food Processing",Eggoz is a full-stack layer poultry business operator & service provider .,N/A,N/A,175200,Angel,2018,
2568,Sqrrl Fintech,2015,"Gurgaon, Haryana, India","Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Personal Finance,N/A,N/A,1000000,Seed,2018,
2569,GalaxyCard,2015,"Noida, Uttar Pradesh, India","Finance, Financial Services, FinTech",GalaxyCard is a mobile based Instant credit card.,N/A,N/A,0,Seed,2018,
2570,IndiQube,2015,"Bengaluru, Karnataka, India","Commercial Real Estate, Coworking, Office Administration, Real Estate",IndiQube is a provider of co-working spaces based in Bengaluru.,N/A,N/A,15000000,SeriesA,2018,
2571,EGK Foods,2015,"Mumbai, Maharashtra, India","Food and Beverage, Food Processing, Organic Food, Snack Food",A food processing enterprise registered with StartUp India .,N/A,N/A,292000,Seed,2018,
2572,NirogStreet,2015,"Gurgaon, Haryana, India","Apps, Health Care, Internet, Mobile Apps, Personal Health",NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,N/A,N/A,300000,Seed,2018,
2573,Pixr8,2015,"Ghaziabad, Uttar Pradesh, India","Digital Media, Incubators, Social Entrepreneurship",Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,N/A,N/A,50000,Seed,2018,
2574,Nivesh.com,2015,"Noida, Uttar Pradesh, India","Finance, Financial Services, Marketing",Nivesh.com is a mass market mutual funds investment platform.,N/A,N/A,438000,Seed,2018,
2575,Theranosis Life Sciences,2015,"Hyderabad, Andhra Pradesh, India","Biotechnology, Health Care, Life Science, Medical Device",A fully functioning cell culture facility and molecular biology setup.,N/A,N/A,0,Seed,2018,
2576,Poshmiles Online Solutions Private Limited,2015,"Bengaluru, Karnataka, India",Travel,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,N/A,N/A,0,Seed,2018,
2577,Reculta,2015,"Noida, Uttar Pradesh, India","Education, Human Resources",A campus recruitment solution provider.,N/A,N/A,0,Seed,2018,
2578,Orbo.ai,2015,"Mumbai, Maharashtra, India",Internet,Orbo is a computer vision and deep facial technology company.,N/A,N/A,0,Seed,2018,
2579,Inntot Technologies,2015,"Kochi, Kerala, India",Consumer Electronics,"Inntot Technologies, is a technology driven company.",N/A,N/A,0,Seed,2018,
2580,Zoctr Health,2015,"Powai, Assam, India","Apps, Health Care, Hospital, Mobile Apps",Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,N/A,N/A,0,Seed,2018,
2581,Hey Deedee,2015,"Mumbai, Maharashtra, India","Delivery Service, Logistics, Service Industry",Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,N/A,N/A,481800,Seed,2018,
2582,DigiConnectt Technologys,2015,"Bengaluru, Karnataka, India","Information Services, Information Technology",A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,N/A,N/A,125000,Seed,2018,
2583,Locus.sh,2015,"Bangalore, Karnataka, India","Big Data, Data Visualization, Logistics, Software",Locus is an intelligent logistics automation platform.,N/A,N/A,4000000,SeriesA,2018,
2584,Sports Flashes Pvt. Ltd,2015,"New Delhi, Delhi, India","Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball","Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",N/A,N/A,1000000,Seed,2018,
2585,Inc42,2015,"New Delhi, Delhi, India","Media and Entertainment, News, Publishing",Inc42 is one of the leading tech media publications of India.,N/A,N/A,0,Seed,2018,
2586,Picxy,2015,"Guntur, Andhra Pradesh, India",Internet,"A stock photo startup based in Amravati, Andhra Pradesh.",N/A,N/A,130000,Seed,2018,
2587,Huddle,2015,"Haryana, Haryana, India",Consulting,A coworking incubator Company.,N/A,N/A,300000,Seed,2018,
2588,Benepik,2015,"Gurgaon, Haryana, India",Human Resources,HR Technology start-up.,N/A,N/A,0,Seed,2018,
2589,Cash Suvidha,2015,"New Delhi, Delhi, India",Finance,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,N/A,N/A,1000000,Seed,2018,
2590,Smartcoin,2015,"Bangalore, Karnataka, India","Big Data, Financial Services, Machine Learning, Predictive Analytics",Providing financial access to the millions of mobile users in India using alternative credit assessment,N/A,N/A,2000000,Seed,2018,
2591,Carmel Organics,2015,"Indore, Madhya Pradesh, India","Agriculture, AgTech, Manufacturing","Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",N/A,N/A,0,SeriesA,2018,
2592,Roadcast,2015,"New Delhi, Delhi, India",—,Transforming the way businesses deliver. Work-force & fleet mobility tools.,N/A,N/A,250000,Angel,2018,
2593,Printline Media(ThePrint),2015,"New Delhi, Delhi, India","Digital Media, News, Publishing",A digital news platform.,N/A,N/A,509540,Seed,2018,
2594,Creditas Solutions,2015,"Gurgaon, Haryana, India",Financial Services,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,N/A,N/A,0,Seed,2018,Finance
2595,UrbanPiper,2015,"Bengaluru, Karnataka, India",Software,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,N/A,N/A,0,Seed,2018,
2596,Doxper,2015,"Mumbai, Maharashtra, India","Health Care, Hospital",Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,N/A,N/A,1051200,Seed,2018,
2597,i2ifunding,2015,"Noida, Uttar Pradesh, India","Crowdfunding, Finance, Financial Services",i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,N/A,N/A,730000,Angel,2018,
2598,ShakeDeal,2015,"Bangalore, Karnataka, India","B2B, E-Commerce, Enterprise",Home of B2B Commerce,N/A,N/A,0,Seed,2018,
2599,HelloVerify,2015,"Noida, Uttar Pradesh, India","Fraud Detection, Information Services, Security",HelloVerify is an online background check platform.,N/A,N/A,0,Seed,2018,
2600,Fasal,2015,"Bengaluru, Karnataka, India","Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Climate Smart Precision Agriculture Platform,N/A,N/A,120000,Seed,2018,
2601,CoinGeto,2015,"Delhi, Delhi, India","Cryptocurrency, Trading Platform",CoinGeto is one of India’s most advanced digital assets exchange.,N/A,N/A,1752000,Seed,2018,
2602,Avail Finance,2015,"Bangalore, Karnataka, India","Finance, FinTech, Mobile Payments",Avail is a mobile-first platform aiming to financially include the urban mass of India.,N/A,N/A,17200000,SeriesA,2018,
2603,Tripeur,2015,"Bengaluru, Karnataka, India",Information Technology,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,N/A,N/A,600000,Seed,2018,
2604,Wedeterna,2015,"Bangalore, Karnataka, India",Wedding,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",N/A,N/A,0,Angel,2018,
2605,Stumagz,2015,"Hyderabad, Andhra Pradesh, India",Digital Media,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,N/A,N/A,0,Seed,2018,
2606,Doubtnut,2015,"Gurgaon, Haryana, India","E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Gurgaon based E-learning platform.,N/A,N/A,511000,Seed,2018,
2607,MCaffeine,2015,"Mumbai, Maharashtra, India",Consumer Goods,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,N/A,N/A,467200,Seed,2018,
2608,TrustCheckr,2015,"Bengaluru, Karnataka, India",Information Technology,A Bengaluru-based fraud analytics solution provider .,N/A,N/A,100000,Angel,2018,
2609,HealthAssure,2015,"Mumbai, Maharashtra, India","Fitness, Health Care, Wellness",HealthAssure provides access to Discounted & High Quality primary care medical network.,N/A,N/A,1000000,Seed,2018,
2610,Picture TIme,2015,"New Delhi, Delhi, India",Digital Entertainment,Operator of low-cost mobile cinema theatres in rural areas.,N/A,N/A,3650000,Seed,2018,
2611,1Crowd,2015,"Mumbai, Maharashtra, India","Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,N/A,N/A,3500000,Angel,2018,
2612,Aarav Unmanned Systems,2015,"Bangalore, Karnataka, India","Delivery, Drones, Geospatial, Robotics",Professional Drones for Enterprise Applications,N/A,N/A,0,Seed,2018,
2613,Wellthy Therapeutics Pvt Ltd,2015,"Mumbai, Maharashtra, India","Health Care, Hospital","Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",N/A,N/A,1971000,Seed,2018,
2614,Nua,2015,"Mumbai, Maharashtra, India",Consumer Goods,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,N/A,N/A,0,Seed,2018,
2615,Kuvera.in,2015,"Bangalore, Karnataka, India",Financial Services,An online platform for mutual fund investments.,N/A,N/A,250000,Angel,2018,Finance
2616,Livehealth,2015,"Pune, Maharashtra, India","Health Care, Information Technology, Management Information Systems",Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,N/A,N/A,1100000,Seed,2018,
2617,Gramophone,2015,"Indore, Madhya Pradesh, India",Farming,An agricultural inputs startup Company.,N/A,N/A,1000000,Seed,2018,
2618,Ora,2015,"Kolkata, West Bengal, India","Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,N/A,N/A,0,Seed,2018,
2619,Buddy4Study.com,2015,"Noida, Uttar Pradesh, India","Career Planning, Education, Higher Education, Service Industry",Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,N/A,N/A,3000000,SeriesA,2018,
2620,Predible Health,2015,"Bangalore, Karnataka, India",Medical Device,Healthcare devices for cancer detection,N/A,N/A,0,Seed,2018,
2621,Syncremedies Healthcare Pvt Ltd,2015,"Bangalore, Karnataka, India","Alternative Medicine, Health Care","Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",N/A,N/A,0,Seed,2018,
2622,Blueleaf Cyberspace Systems,2015,"Bangalore, Karnataka, India","Internet, Software",Bluleaf Cyberspace is Cloud Based Software Company.,N/A,N/A,0,Seed,2018,
2623,Toffee,2015,"Gurgaon, Haryana, India",—,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",N/A,N/A,1500000,Seed,2018,
2624,ORO Wealth,2015,"Mumbai, Maharashtra, India",—,Online wealth management platform,N/A,N/A,1600000,SeriesA,2018,
2625,HealWell24,2015,"Mumbai, Maharashtra, India","Dental, Elder Care, Health Care, Home Health Care, Personal Health","HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",N/A,N/A,200000,Seed,2018,
2626,Acko General Insurance,2015,"Mumbai, Maharashtra, India","Financial Services, Insurance, Private Social Networking",Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,N/A,N/A,12000000,SeriesA,2018,
2627,arzooo.com,2015,"Bangalore, Karnataka, India","Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,N/A,N/A,219000,Seed,2018,
2628,Bonphul Air Products,2015,"Delhi, Delhi, India",CleanTech,A clean tech product Company,N/A,N/A,292000,Angel,2018,
2629,DheeYantra Research Labs,2015,"Bangalore, Karnataka, India",Artificial Intelligence,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",N/A,N/A,0,Seed,2018,
